"Asutuse registrikood";"Asutuse täisnimi";"Maakond, linn/vald, küla";"Tänav/maja";"Arhiv. kp";"Lõp.akt.nimi";"Lõpet. nr";"Lõpetamise akti kuupäev";"Lõpet.kp";"Arhiivis";"E-mail"
"75003341";"Aravete Külamuuseum";"Aravete alevik, Ambla vald, Järva maakond";"Kurisu 1";"";"";"";"00000000";"";"";""
"75003370";"Aravete Lasteaed Mesimumm";"Aravete alevik, Ambla vald, Järva maakond";"Lasteaia 4";"";"";"";"00000000";"";"";""
"75003358";"Aravete Raamatukogu";"Aravete alevik, Ambla vald, Järva maakond";"Lasteaia 4";"";"";"";"00000000";"";"";""
"75008963";"Aravete Spordi- ja Tervisekeskus";"Ambla alevik, Ambla vald, Järva maakond";"Lai 22";"00000000";"";"";"00000000";"00000000";"";""
"75016384";"Aravu Rahvamaja";"Aravu küla, Meeksi vald, Tartu maakond";"";"";"";"";"00000000";"";"";""
"75039273";"Ardu Kool";"Ardu alevik, Kose vald, Harju maakond";"Lasteaia tee 4";"00000000";"";"";"00000000";"00000000";"";"INFO@ARDUKOOL.EE"
"75039281";"Ardu Lasteaed";"Ardu alevik, Kose vald, Harju maakond";"Lasteaia tee 8";"00000000";"";"";"00000000";"00000000";"";"ARDULA@KOSE.EE"
"75004688";"Are Huvikeskus";"Are alevik, Are vald, Pärnu maakond";"Pärivere 17";"";"";"";"00000000";"";"";"AREKLUBI@HOT.EE"
"75004725";"Are Kool";"Are alevik, Are vald, Pärnu maakond";"Kooli tn 1";"";"";"";"00000000";"";"";"INFO@ARE.EDU.EE, SUIGULASTEAEDALGKOOL@GMAIL.COM"
"75004694";"Are Raamatukogu";"Are alevik, Are vald, Pärnu maakond";"Pärivere 17, Kooli 1";"";"";"";"00000000";"";"";""
"75004671";"Are Vallavalitsus";"Are alevik, Are vald, Pärnu maakond";"Pärivere 17";"";"";"";"00000000";"";"";"SEKRETAR@AREVALD.EE"
"75036926";"Are valla Avatud Noortekeskus";"Are vald, Pärnu maakond";"Pärivere tee 17";"00000000";"";"";"00000000";"00000000";"";"KRISTI.KIVISAAR@GMAIL.COM"
"75010789";"Aruküla Huvialakeskus \"Pääsulind\"";"Aruküla alevik, Raasiku vald, Harju maakond";"Tallinna mnt 38";"";"";"";"00000000";"";"";"HUVIKOOL@HOT.EE"
"75010720";"Aruküla Lasteaed \"Rukkilill\"";"Aruküla alevik, Raasiku vald, Harju maakond";"Staadioni 6";"";"";"";"00000000";"";"";""
"75010737";"Aruküla Põhikool";"Aruküla alevik, Raasiku vald, Harju maakond";"Põllu 5";"";"";"";"00000000";"";"";"KOOL@ARUKYLA.EDU.EE"
"75010755";"Aruküla Raamatukogu";"Aruküla alevik, Raasiku vald, Harju maakond";"Tallinna mnt 14";"";"";"";"00000000";"";"";"ARUKYLARK@HOT.EE"
"75015099";"Aruvälja Raamatukogu";"Ahaste küla, Audru vald, Pärnu maakond";"";"";"";"";"00000000";"";"";"ARUVALJA@PKR.EE"
"75038865";"Aseri Kool";"Aseri alevik, Aseri vald, Ida-Viru maakond";"Kooli 2";"00000000";"";"";"00000000";"00000000";"";"KOOL@ASERIK.EDU.EE"
"75004180";"Aseri Muusikakool";"Aseri alevik, Aseri vald, Ida-Viru maakond";"Kooli 2";"";"";"";"00000000";"";"";"MUUSIKAKOOL@ASERIVV.EE"
"75004197";"Aseri Raamatukogu";"Aseri alevik, Aseri vald, Ida-Viru maakond";"Keskpõik 2";"";"";"";"00000000";"";"";"LJUDMILLA@ASERIVV.EE"
"75005966";"Aseri Rahvamaja";"Aseri alevik, Aseri vald, Ida-Viru maakond";"Keskpõik 1";"";"";"";"00000000";"";"";"RAHVAMAJA@ASERIVV.EE"
"75005972";"Aseri Vabaajakeskus";"Aseri alevik, Aseri vald, Ida-Viru maakond";"Kesktänav 22";"";"";"";"00000000";"";"";"KAIRE.KUTSAR@MAIL.EE"
"75004174";"Aseri Vallavalitsus";"Aseri alevik, Aseri vald, Ida-Viru maakond";"Kesktänav 5";"";"";"";"00000000";"";"";"INFO@ASERIVV.EE"
"75038115";"Assaku Lasteaed";"Assaku alevik, Rae vald, Harju maakond";"Järve tee 1";"00000000";"";"";"00000000";"00000000";"";"DIREKTOR@ASSAKU.EDU.EE"
"75009697";"Assamalla Rahvaraamatukogu";"Assamalla küla, Tamsalu vald, Lääne-Viru maakond";"";"";"";"";"00000000";"";"";"ASSARK@HOT.EE"
"70003566";"Astangu Kutserehabilitatsiooni Keskus";"Tallinn, Harju maakond";"Astangu 27";"";"";"";"00000000";"";"";"ASTANGU@ASTANGU.EE"
"75027270";"Aste Klubi";"Aste alevik, Kaarma vald, Saare maakond";"";"";"";"";"00000000";"";"";""
"75018822";"Aste Lasteaed Mõmmik";"Aste alevik, Lääne-Saare vald, Saare maakond";"Metsa tn 2";"";"";"";"00000000";"";"";"ASTELASTEAED@LAANESAARE.EE"
"75018779";"Aste Põhikool";"Aste alevik, Lääne-Saare vald, Saare maakond";"Võhma mnt 3";"";"";"";"00000000";"";"";"KOOL@ASTE.EDU.EE"
"75021528";"Aste Raamatukogu";"Aste alevik, Kaarma vald, Saare maakond";"";"";"";"";"00000000";"";"";""
"75022522";"Asuküla Raamatukogu";"Mägari küla, Ridala vald, Lääne maakond";"";"";"";"";"00000000";"";"";""
"74000151";"Audiitorkogu";"Tallinn, Harju maakond";"Tartu mnt 50";"00000000";"";"";"00000000";"00000000";"";"INFO@AUDIITORKOGU.EE"
"75014304";"Audru Kool";"Audru alevik, Audru vald, Pärnu maakond";"Lihula mnt 10";"";"";"";"00000000";"";"";"KOOL@AUDRU.EDU.EE"
"75015077";"Audru Lasteaed";"Audru alevik, Audru vald, Pärnu maakond";"Nooruse 2";"";"";"";"00000000";"";"";"AUDRULASTEAED@HOT.EE"
"75015172";"Audru Muuseum";"Audru alevik, Audru vald, Pärnu maakond";"Pärna allee 14";"";"";"";"00000000";"";"";""
"75035306";"Audru Päevakeskus";"Audru alevik, Audru vald, Pärnu maakond";"Ringi 1 a";"00000000";"";"";"00000000";"00000000";"";"INFO@AUDRU.EE"
"75015083";"Audru Raamatukogu";"Audru alevik, Audru vald, Pärnu maakond";"Pärna allee 14";"";"";"";"00000000";"";"";"AUDRU@PKR.EE"
"75015137";"Audru Valla Kultuurikeskus";"Audru alevik, Audru vald, Pärnu maakond";"Sauna 1";"";"";"";"00000000";"";"";""
"75014296";"Audru Vallavalitsus";"Audru alevik, Audru vald, Pärnu maakond";"Pärna allee 7";"";"";"";"00000000";"";"";"INFO@AUDRU.EE"
"75006405";"August Kitzbergi nimeline Gümnaasium";"Karksi-Nuia v-linn, Karksi vald, Viljandi maakond";"Kooli 1";"";"";"";"00000000";"";"";"AKG@AKG.VIL.EE"
"75020629";"August Tampärgi nimeline Hanila Muuseum";"Hanila küla, Hanila vald, Lääne maakond";"Hanila muuseum";"";"";"";"00000000";"";"";"HANILAMUUSEUM@GMAIL.COM"
"75024001";"Avinurme Gümnaasium";"Avinurme alevik, Avinurme vald, Ida-Viru maakond";"Võidu 16";"";"";"";"00000000";"";"";"KESKKOOL@AVINURME.EE"
"75023970";"Avinurme Koduloomuuseum";"Avinurme alevik, Avinurme vald, Ida-Viru maakond";"Võidu tn. 2";"";"";"";"00000000";"";"";""
"75024018";"Avinurme Lasteaed";"Avinurme alevik, Avinurme vald, Ida-Viru maakond";"Põllu tn. 1";"";"";"";"00000000";"";"";""
"75023964";"Avinurme Valla Raamatukogud";"Avinurme alevik, Avinurme vald, Ida-Viru maakond";"Põllu tn. 1";"";"";"";"00000000";"";"";""
"75023935";"Avinurme Vallavalitsus";"Avinurme alevik, Avinurme vald, Ida-Viru maakond";"Võidu tn.9";"";"";"";"00000000";"";"";"AVINURME@AVINURME.EE"
"75023993";"Avinurme Veeettevõte";"Avinurme alevik, Avinurme vald, Ida-Viru maakond";"Võidu tn. 9";"";"";"";"00000000";"";"";"AVINURME@AVINURME.EE"
"75023680";"C. R. Jakobsoni nim Torma Põhikool";"Torma alevik, Torma vald, Jõgeva maakond";"Kooli tee 23";"";"";"";"00000000";"";"";"TORMAPK@TORMAPK.EE"
"70002584";"Carl Robert Jakobsoni Talumuuseum";"Kurgja küla, Vändra vald, Pärnu maakond";"";"";"";"";"00000000";"";"";"JAKOBSONI.TALUMUUSEUM@MAIL.EE"
"75012831";"Cyrillus Kreegi nimeline Haapsalu Muusikakool";"Haapsalu linn, Lääne maakond";"Kastani 7";"";"";"";"00000000";"";"";"KOOL@HMK.EDU.EE"
"75035312";"Eakate Avahoolduskeskus";"Pärnu linn, Pärnu maakond";"Metsa 10";"00000000";"";"";"00000000";"00000000";"";"AVAHOOLDUSKESKUS@LV.PARNU.EE"
"75037021";"Eakate päevakeskus";"Tabasalu alevik, Harku vald, Harju maakond";"Teenuste 2";"00000000";"";"";"00000000";"00000000";"";""
"74000027";"Eesti Advokatuur";"Tallinn, Harju maakond";"Rävala pst 3";"00000000";"";"";"00000000";"00000000";"";"ADVOKATUUR@ADVOKATUUR.EE"
"70004376";"Eesti Ajaloomuuseum";"Tallinn, Harju maakond";"Pirita tee 56";"";"";"";"00000000";"";"";"POST@AJALOOMUUSEUM.EE"
"74002233";"Eesti Arengufond";"Tallinn, Harju maakond";"Rotermanni 8";"00000000";"";"";"00000000";"00000000";"";"INFO@ARENGUFOND.EE"
"70004560";"Eesti Arhitektuurimuuseum";"Tallinn, Harju maakond";"Ahtri 2";"";"";"";"00000000";"";"";"INFO@ARHITEKTUURIMUUSEUM.EE"
"70005944";"Eesti Biokeskus";"Tartu linn, Tartu maakond";"Riia 23B";"";"";"";"00000000";"";"";"BIOKESKUS@EBC.EE"
"74000091";"Eesti Haigekassa";"Tallinn, Harju maakond";"Lembitu 10";"00000000";"";"";"00000000";"00000000";"";"HAIGEKASSA@HAIGEKASSA.EE"
"70001159";"Eesti Hoiuraamatukogu";"Tallinn, Harju maakond";"Suur-Sõjamäe 44a";"";"";"";"00000000";"";"";"INFO@HOIURAAMATUKOGU.EE"
"70004011";"Eesti Keele Instituut";"Tallinn, Harju maakond";"Roosikrantsi 6";"";"";"";"00000000";"";"";"EKI@EKI.EE"
"70003879";"Eesti Kirjandusmuuseum";"Tartu linn, Tartu maakond";"Vanemuise 42";"";"";"";"00000000";"";"";"KIRMUS@KIRMUS.EE"
"70003572";"Eesti Kohtuekspertiisi Instituut";"Tallinn, Harju maakond";"Tervise 30";"";"";"";"00000000";"";"";"KOHTUEKSPERTIIS@EKEI.EE"
"74001328";"Eesti Kultuurkapital";"Tallinn, Harju maakond";"Suur-Karja 23";"00000000";"";"";"00000000";"00000000";"";"KULKA@KULKA.EE"
"74000624";"Eesti Kunstiakadeemia";"Tallinn, Harju maakond";"Estonia pst 7 /Teatri väljak 1";"00000000";"";"";"00000000";"00000000";"";"ARTUN@ARTUN.EE"
"70004548";"Eesti Kunstimuuseum";"Tallinn, Harju maakond";"A. Weizenbergi 34/Valge 1";"";"";"";"00000000";"";"";"MUUSEUM@EKM.EE"
"70001030";"Eesti Lastekirjanduse Keskus";"Tallinn, Harju maakond";"Pikk 73";"";"";"";"00000000";"";"";"ELK@ELK.EE"
"70005699";"Eesti Lennuakadeemia";"Reola küla, Üœlenurme vald, Tartu maakond";"Lennu 40";"";"";"";"00000000";"";"";"EAVA@EAVA.EE"
"70003129";"Eesti Loodusmuuseum";"Tallinn, Harju maakond";"Lai 29 A";"";"";"";"00000000";"";"";"MUUSEUM@ONLINE.EE"
"74001086";"Eesti Maaülikool";"Tartu linn, Tartu maakond";"Kreutzwaldi 1";"00000000";"";"";"00000000";"00000000";"";"INFO@EMU.EE"
"70009646";"Eesti Merekool";"Tallinn, Harju maakond";"Kopli 101";"00000000";"";"";"00000000";"00000000";"";"MEREKOOL@MEREKOOL.EE"
"70001001";"Eesti Meremuuseum";"Tallinn, Harju maakond";"Pikk 70";"";"";"";"00000000";"";"";"INFO@MEREMUUSEUM.EE"
"74000547";"Eesti Muusika- ja Teatriakadeemia";"Tallinn, Harju maakond";"Tatari 13";"00000000";"";"";"00000000";"00000000";"";"EMA@EMA.EDU.EE"
"70005312";"Eesti Noorsootöö Keskus";"Tallinn, Harju maakond";"Tõnismägi 11";"";"";"";"00000000";"";"";"ENTK@ENTK.EE"
"74000174";"Eesti Pank";"Tallinn, Harju maakond";"Estonia pst 13";"00000000";"";"";"00000000";"00000000";"";"INFO@EESTIPANK.EE"
"70005982";"Eesti Piimandusmuuseum";"Imavere vald, Järva maakond";"";"";"";"";"00000000";"";"";"INFO@PIIMANDUSMUUSEUM.EE"
"70002578";"Eesti Põllumajandusmuuseum";"Üœlenurme alevik, Üœlenurme vald, Tartu maakond";"Pargi 4";"";"";"";"00000000";"";"";"EPM@EPM.EE"
"70005536";"Eesti Rahva Muuseum";"Tartu linn, Tartu maakond";"Veski 32";"";"";"";"00000000";"";"";"ERM@ERM.EE"
"74000139";"Eesti Rahvusraamatukogu";"Tallinn, Harju maakond";"Tõnismägi 2";"00000000";"";"";"00000000";"00000000";"";"NLIB@NLIB.EE"
"74002322";"Eesti Rahvusringhääling";"Tallinn, Harju maakond";"Gonsiori 27";"00000000";"";"";"00000000";"00000000";"";"ERR@ERR.EE"
"70004353";"Eesti Spordimuuseum";"Tartu linn, Tartu maakond";"Rüütli 15";"";"";"";"00000000";"";"";"INFO@SPORDIMUUSEUM.EE"
"70006139";"Eesti Sõjamuuseum - kindral Laidoneri Muuseum";"Viimsi alevik, Viimsi vald, Harju maakond";"Mõisa tee 1";"";"";"";"00000000";"";"";"INFO@ESM.EE"
"70000869";"Eesti Taimekasvatuse Instituut";"Jõgeva alevik, Jõgeva vald, Jõgeva maakond";"J. Aamisepa 1";"";"";"";"00000000";"";"";"INFO@ETKI.EE"
"70006932";"Eesti Tarbekunsti- ja Disainimuuseum";"Tallinn, Harju maakond";"Lai 17";"00000000";"";"";"00000000";"00000000";"";"INFO@ETDM.EE"
"74000168";"Eesti Teaduste Akadeemia";"Tallinn, Harju maakond";"Kohtu 6";"00000000";"";"";"00000000";"00000000";"";"AKADEEMIA@AKADEEMIA.EE"
"74000352";"Eesti Teaduste Akadeemia Kirjastus";"Tallinn, Harju maakond";"Estonia pst. 7";"00000000";"";"";"00000000";"00000000";"";"NIINE@KIRJ.EE"
"74000381";"Eesti Teaduste Akadeemia Underi ja Tuglase Kirjanduskeskus";"Tallinn, Harju maakond";"Roosikrantsi 6";"00000000";"";"";"00000000";"00000000";"";"JANA@EKI.EE, PIRET@EKI.EE"
"70004382";"Eesti Teatri- ja Muusikamuuseum";"Tallinn, Harju maakond";"Müürivahe 12";"";"";"";"00000000";"";"";"INFO@TMM.EE"
"74000085";"Eesti Töötukassa";"Tallinn, Harju maakond";"Lasnamäe 2";"00000000";"";"";"00000000";"00000000";"";"INFO@TOOTUKASSA.EE"
"75017283";"Ehte Humanitaargümnaasium";"Tallinn, Harju maakond";"Ehte 9";"";"";"";"00000000";"";"";"EHTEHG@EHTEHG.EE"
"75021735";"Eidapere Kool";"Kehtna vald, Rapla maakond";"Tallinna mnt 23c";"";"";"";"00000000";"";"";"EIDAPERE.KOOL@KEHTNA.EE"
"75021787";"Eidapere Kultuurikeskus";"Eidapere alevik, Kehtna vald, Rapla maakond";"Tallinna mnt 23B";"";"";"";"00000000";"";"";"EIDAPERE.KULTUURIKESKUS@KEHTNA.EE"
"75021824";"Eidapere Lasteaed Kukupai";"Eidapere alevik, Kehtna vald, Rapla maakond";"Tallinna mnt 23B";"";"";"";"00000000";"";"";""
"75021876";"Eidapere Rahvaraamatukogu";"Eidapere alevik, Kehtna vald, Rapla maakond";"Tallinna mnt 23b";"";"";"";"00000000";"";"";"RAAMATUKOGU@EIDAPERE.EE"
"75021540";"Eikla Raamatukogu";"Koidula küla, Kaarma vald, Saare maakond";"";"";"";"";"00000000";"";"";""
"75002152";"Elistvere Raamatukogu";"Elistvere küla, Tabivere vald, Jõgeva maakond";"";"";"";"";"00000000";"";"";"ELISTVERE@HOT.EE"
"75008143";"Elva Gümnaasium";"Elva linn, Tartu maakond";"Puiestee 2";"";"";"";"00000000";"";"";"KOOL@ELVAG.EDU.EE"
"75008120";"Elva Huviala- ja Kultuurikeskus \"Sinilind\"";"Elva linn, Tartu maakond";"Kesk 30";"";"";"";"00000000";"";"";"SINILIND@ELVA.EE"
"75014847";"Elva Lasteaed \"Murumuna\"";"Elva linn, Tartu maakond";"Kesk 29";"";"";"";"00000000";"";"";"MURUMUNA@ELVA.EE"
