"Asutuse registrikood";"Asutuse t�isnimi";"Maakond, linn/vald, k�la";"T�nav/maja";"Arhiv. kp";"L�p.akt.nimi";"L�pet. nr";"L�petamise akti kuup�ev";"L�pet.kp";"Arhiivis";"E-mail";"asut_liik";"maakond";"postikood";"telefon";"faks";"tegevuala_kood";"tegevusala";"Moodust_akti_nr";"Moodust_akti_kuup�ev";"Asutamise_kuup�ev";"P�him��ruse_akti_nr.";"P�him��ruse_kinnitamise_kuup�ev.";"Kande_kuup�ev";"Ettev�tte_registri_kood";"K�rgemalseisva_asutuse_number";"P�him��ruse_akti_nr";"P�him��ruse_kinnitamise_kuup�ev";"Moodustamisakt";"P�him��ruse_akt";"Tegevusala_kirjeldus"
"75038842";"Abja Spordi- ja Tervisekeskus";"Abja vald, Viljandi maakond";"Abja tee 15";"00000000";"";"";"00000000";"00000000";"";"IMRE.JUGOMAE@GMAIL.COM";"
Valla ametiasutuse hallatav asutus";"84 ";"69402 ";"4364 101 ";" ";"93111 ";"Spordirajatiste käitus ";"21 ";"14.08.2014 ";"14.08.2014 ";"17 ";"27.04.2000 ";"01.09.2014 ";" ";"75015812 ";"21 ";"14.08.2014 ";"Abja Vallavolikogu määrus \"Abja Spordi- ja Tervisekeskuse asutamine ja põhimääruse kinnitamine\" ";"Abja Vallavolikogu määrus \"Abja Spordi- ja Tervisekeskuse asutamine ja põhimääruse kinnitamine\" ";"Elanikkonna erinevatele vanusegruppidele mitmekülgsete võimaluste loomine sportlikuks tegevuseks ja tervise edendamiseks, vaba aja veetmiseks"
"75015812";"Abja Vallavalitsus";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"P�rnu mnt 30";"";"";"";"00000000";"";"";"ABJAVV@ABJA.EE";"
Valla ametiasutus";"84 ";"69403 ";"435 4780 ";" ";"84114 ";"Valla- ja linnavalitsuste tegevus ";"1092 ";"13.02.1992 ";"13.02.1992 ";"17 ";"27.04.2000 ";"01.11.2000 ";"35007085 ";" ";"85 ";"22.11.2012 ";"Ülemnõukogu Presiidiumi seadlus ";"Abja Vallavolikogu määrus \"Abja valla põhimäärus\" ";"Korraldab ja juhib kohalikku elu, lähtudes vallaelanike õigustatud vajadustest ja huvidest ning arvestades valla arengu iseärasusi."
"75021511";"Abruka Raamatukogu";"Abruka k�la, Kaarma vald, Saare maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"74 ";"93826 ";"452 6641 ";" ";"91011 ";"Raamatukogude tegevus ";"17 ";"22.11.2000 ";"01.12.2000 ";"17 ";"27.04.2000 ";"04.12.2000 ";"45001801 ";"75004145 ";"18 ";"23.09.2009 ";"Kaarma Vallavolikogu määrus \"Aste raamatukogu, Abruka raamatukogu, Eikla raamatukogu, Kaarma raamatukogu, Randvere raamatukogu ja Nasva klubi põhimääruste kinnitamine\" ";"Kaarma Vallavolikogu määrus \"Kaarma valla raamatukogude põhimääruste kinnitamine\" ";"Osutab Kaarma valla elanikele põhiteenuseid: teavikute kohapeal kasutamine, kojulaenutus ja avalikule teabele üldkasutatava andmesidevõrgu kaudu juurdepääsu võimaldamine vastavalt raamatukogu kasutamise eeskirjale."
"75023533";"Adavere P�hikool";"Adavere alevik, P�ltsamaa vald, J�geva maakond";"";"";"";"";"00000000";"";"";"APK@APK.EDU.EE";"
Valla ametiasutuse hallatav asutus";"49 ";"48001 ";"776 9304 ";" ";"85311 ";"Lasteaed-põhikoolide tegevus ";"110 ";"21.02.2007 ";"01.09.2007 ";"17 ";"27.04.2000 ";"06.02.2001 ";"41001313 ";"75023496 ";"26 ";"15.03.2007 ";"Põltsamaa Vallavolikogu otsus \"Adavere Põhikooli ja Adavere lasteia \"Naksitrallid\" ümberkujundamine\" ";"Põltsamaa Vallavolikogu määrus \"Adavere Põhikooli põhimääruse kinnitamine\" ";"Võimaldab põhihariduse omandamist, koolikohustuse täitmist ja koolieast noorematele lastele hoidu ning alushariduse omandamist."
"75026922";"Aegviidu Kool";"Aegviidu alev, Aegviidu vald, Harju maakond";"P�rna 1";"";"";"";"00000000";"";"";"KOOL@AEGVIIDU.EDU.EE";"
Valla ametiasutuse hallatav asutus";"37 ";"74501 ";"6047369; 556847 ";" ";"85312 ";"Põhikoolide tegevus ";"8 ";"08.01.1991 ";"01.01.1991 ";"17 ";"27.04.2000 ";"11.04.2001 ";"71005923 ";"75021480 ";"34 ";"18.12.2013 ";"Harju Maakonna Valitsuse korraldus \"Haldusreformi ellurakendamisest\" ";"Aegviidu Vallavolikogu määrus \"Aegviidu Kooli põhimäärus\" ";"Loob õpilastele võimalused põhihariduse omandamiseks ja koolikohustuse täitmiseks."
"75026916";"Aegviidu Lasteaed";"Aegviidu alev, Aegviidu vald, Harju maakond";"Kase 10";"";"";"";"00000000";"";"";"LASTEAED@AEGVIIDU.EE";"
Valla ametiasutuse hallatav asutus";"37 ";"74501 ";"6047225;6047439 ";" ";"85102 ";"Lasteaedade tegevus ";"8 ";"08.01.1991 ";"01.01.1991 ";"17 ";"27.04.2000 ";"11.04.2001 ";"71063553 ";"75021480 ";"28 ";"18.09.2013 ";"Harju Maakonna Valitsuse korraldus \"Haldusreformi ellurakendamisest\" ";"Aegviidu Vallavolikogu määrus \"Aegviidu Lasteaia põhimääruse kinnitamine\" ";"Võimaldab lastele hoidu ja alushariduse omandamist."
"75026945";"Aegviidu Rahvamaja";"Aegviidu alev, Aegviidu vald, Harju maakond";"P�rna 12";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"37 ";"74501 ";"604 7227 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";"8 ";"08.01.1991 ";"01.01.1991 ";"17 ";"27.04.2000 ";"11.04.2001 ";"71013360 ";"75021480 ";"34 ";"19.09.2007 ";"Harju Maakonna Valitsuse korraldus \"Haldusreformi ellurakendamisest\" ";"Aegviidu Vallavolikogu otsus \"Aegviidu Rahvamaja põhimäärus\" ";"Luua oma piirkonna elanikele võimalused vaba aja veetmiseks vastavalt nende huvidele ja vajadustele."
"75026939";"Aegviidu Vallaraamatukogu";"Aegviidu alev, Aegviidu vald, Harju maakond";"Piibe mnt 13";"";"";"";"00000000";"";"";"AEGVIIDU.RAAMATUKOGU@MAIL.EE";"
Valla ametiasutuse hallatav asutus";"37 ";"74501 ";"604 7374 ";" ";"91011 ";"Raamatukogude tegevus ";"8 ";"08.01.1991 ";"01.01.1991 ";"17 ";"27.04.2000 ";"11.04.2001 ";"71013549 ";"75021480 ";"32 ";"19.09.2007 ";"Harju Maakonna Valitsuse korraldus \"Haldusreformi ellurakendamisest\" ";"Aegviidu Vallavolikogu otsus \"Aegviidu Vallaraamatukogu põhimäärus\" ";"Osutab põhiteenuseid Aegviidu valla elanikele ning teistele soovijatele"
"75021480";"Aegviidu Vallavalitsus";"Aegviidu alev, Aegviidu vald, Harju maakond";"Kase 10";"";"";"";"00000000";"";"";"AEGVV@AEGVIIDU.EE";"
Valla ametiasutus";"37 ";"74501 ";"605 1770 ";" ";"84114 ";"Valla- ja linnavalitsuste tegevus ";"264 ";"25.08.1993 ";"25.08.1993 ";"17 ";"27.04.2000 ";"04.12.2000 ";"71011266 ";" ";"7 ";"21.08.2013 ";"Eesti Vabariigi Valitsuse määrus \"Eesti  Vabariigi alevitele linna ja valla staatuse andmise kohta\" ";"Aegviidu Vallavolikogu määrus \"Aegviidu valla põhimääruse kehtestamine\" ";"Viib praktilise tegevusega ellu vallale ning vallavalitsusele seatud ülesandeid."
"75032526";"Ahja Valla Tuglase Muuseum";"Ahja alevik, Ahja vald, P�lva maakond";"Tartu mnt 21";"00000000";"";"";"00000000";"00000000";"";"AHJA.INFO@MAIL.EE";"
Valla ametiasutuse hallatav asutus";"65 ";"63710 ";"797 0100 ";"797 0100 ";"91021 ";"Muuseumide tegevus ";"13 ";"14.04.1998 ";"14.04.1998 ";"17 ";"27.04.2000 ";"25.01.2005 ";" ";"75008505 ";"14 ";"26.09.2007 ";"Ahja Vallavolikogu otsus \"Ahja Valla Tuglase Muuseumi asutamine\" ";"Ahja Vallavolikogu määrus \"Ahja Valla Tuglase Muuseumi põhimääruse kinnitamine\" ";"Koguda, säilitada, uurida ja eksponeerida endise Võnnu kihelkonna Ahja mõisa aja- ja kultuurilooga seotud esemeid, dokumente ja materjale ning korraldada nende vahendamist teaduslikel, hariduslikel ja meelelahutuslikel eesmärkidel."
"75008505";"Ahja Vallavalitsus";"Ahja alevik, Ahja vald, P�lva maakond";"Illimari 6";"";"";"";"00000000";"";"";"AHJA@AHJA.EE";"
Valla ametiasutus";"65 ";"63710 ";"7993971;7993970 ";"799 3971 ";"84114 ";"Valla- ja linnavalitsuste tegevus ";" ";"19.12.1991 ";"19.12.1991 ";"17 ";"27.04.2000 ";"28.08.2000 ";"54006236 ";" ";"13 ";"25.10.2006 ";"Eesti Vabariigi Ülemnõukogu Presiidiumi seadlus ";"Ahja Vallavolikogu määrus \"Ahja valla põhimäärus\" ";"Realiseerb praktilise tegevusega õigusaktides valla omavalitsusele antud õigusi ja pandud kohustusi ning täidab vallavolikogu määrustes ja otsustes seatud ülesanded"
"75002809";"Ahtme Klubi";"Kohtla-J�rve linn, Ida-Viru maakond";"Mardi 6";"";"";"";"00000000";"";"";"INFO@AHTMEKLUBI.COM";"
Linna ametiasutuse hallatav asutus";"44 ";"31026 ";"33 22 171 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";"16/569-01 ";"01.02.1993 ";"01.02.1993 ";"17 ";"27.04.2000 ";"30.05.2000 ";"13052010 ";"75001017 ";"155 ";"30.01.2013 ";"Riigivara munitsipaalomandusse andmise akt ";"Kohtla-Järve Linnavolikogu määrus \"Ahtme Klubi põhimäärus\" ";"Elanikkonna kultuuriline teenindamine"
"70004420";"Ahtme Kool";"Kohtla-J�rve linn, Ida-Viru maakond";"�petajate 3";"";"";"";"00000000";"";"";"INFO@AHTMEKOOL.EE";"
Valitsusasutuse hallatav riigiasutus";"44 ";"31021 ";"33 66071 ";"33 66070 ";"85312 ";"Põhikoolide tegevus ";"887-K ";"06.11.1996 ";"01.01.1997 ";"17 ";"27.04.2000 ";"02.03.1999 ";"13005861 ";"70000740 ";"29 ";"28.06.2011 ";"Vabariigi Valitsuse korraldus \"Üldharidusasutuste andmine maavalitsuste haldamisele ja riigivara valitsejate määramine\" ";"Haridus- ja teadusministri määrus \"Ahtme Kooli põhimäärus\" ";"Võimaldada hariduslike erivajadustega õpilastel koolikohustuse täitmist ja põhihariduse omandamist põhikooli lihtsustatud riikliku õppekava ja toimetuleku riikliku õppekava alusel, luua õpilastele võimalused elus toimetulekuks vajalike teadmiste, oskuste ja eetiliste tõekspidamiste omandamiseks."
"75002790";"Ahtme Kunstide Kool";"Kohtla-J�rve linn, Ida-Viru maakond";"Jaaniku 11";"";"";"";"00000000";"";"";"INFO@AHTMEK.EE";"
Linna ametiasutuse hallatav asutus";"44 ";"31025 ";"3323096,3323097 ";" ";"85521 ";"Muusika- ja kunstikoolitus ";"148 ";"09.09.1994 ";"09.09.1994 ";"17 ";"27.04.2000 ";"05.04.2016 ";"13057160 ";"75001017 ";"7 ";"15.03.2016 ";"Kohtla-Järve Linnavalitsuse määrus \"Ahtme Kunstidekooli asutamine, kunsti- ja muusikaklasside avamine\" ";"Kohtla-Järve Linnavalitsuse määrus \"Ahtme Kunstide Kooli põhimäärus\" ";"Huvikooli tegevuse eesmärk on anda riiklikust huvihariduse raamõppekavast lähtuvalt muusikalist ja kunstilist põhiharidust ning valmistada õppureid ette professionaalse muusika- ja kunstihariduse õppeks."
"75004412";"Ahula Lasteaed-algkool";"Ahula k�la, Albu vald, J�rva maakond";"";"";"";"";"00000000";"";"";"TAMTIK@ALBU.EE";"
Valla ametiasutuse hallatav asutus";"51 ";"73401 ";"383 2018 ";" ";"85201 ";"Lasteaed-algkoolide tegevus ";"19 ";"19.06.2003 ";"01.09.2004 ";"17 ";"27.04.2000 ";"28.08.2000 ";"51018220 ";"75004346 ";"18 ";"29.12.2010 ";"Albu Vallavolikogu määrus \"Ahula Algkooli ümberkujundamine Ahula Lasteaed-algkooliks\" ";"Albu Vallavolikogu määrus \"Ahula Lasteaed-Algkooli põhimäärus\" ";"Võimaldada koolieast noorematele lastele hoidu ja alushariduse omandamist"
"75004398";"Ahula Raamatukogu";"Ahula k�la, Albu vald, J�rva maakond";"";"";"";"";"00000000";"";"";"AHULARK@ALBU.EE";"
Valla ametiasutuse hallatav asutus";"51 ";"73401 ";"383 2326 ";" ";"91011 ";"Raamatukogude tegevus ";"05/199-05 ";"20.10.1995 ";"20.10.1995 ";"17 ";"27.04.2000 ";"20.07.2000 ";"51001952 ";"75004346 ";"13 ";"21.10.2010 ";"Riigi vara munitsipaalomandusse andmise akt ";"Albu Vallavolikogu määrus \"Ahula Raamatukogu põhimäärus\" ";"Raamatukogu kogub, säilitab ja teeb lugejale kättesaadavaks temale vajalikud trükised, auvised ja teised teavikud ning avalikud andmekogud."
"75004435";"Ahula Sotsiaalne Varjupaik";"Ahula k�la, Albu vald, J�rva maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"51 ";"73401 ";"383 2333 ";" ";"87909 ";"Muude mujal liigitamata hoolekandeasutuste tegevus ";"43 ";"06.06.1997 ";"01.07.1997 ";"17 ";"27.04.2000 ";"20.07.2000 ";" ";"75004346 ";"14 ";"19.05.2000 ";"Albu Vallavolikogu otsus \"Ahula Sotsiaalse Varjupaiga asutamine\" ";"Albu Vallavolikogu määrus \"Ahula Sotsiaalse Varjupaiga põhimäärus\" ";"Pakub sotsiaalteenust vajavatele isikutele ajutist ööpäevast abi, tuge ning kaitset, tagamaks neile täisväärtusliku elu ja toimetuleku"
"75012535";"Aidu Lasteaed - Algkool";"V�gari k�la, Pajusi vald, J�geva maakond";"Kooli tee 7";"";"";"";"00000000";"";"";"AIDU.LAK@PAJUSI.EE";"
Valla ametiasutuse hallatav asutus";"49 ";"48222 ";"774 4446 ";" ";"85201 ";"Lasteaed-algkoolide tegevus ";"556 ";"02.02.1994 ";"02.02.1994 ";"17 ";"27.04.2000 ";"11.10.2000 ";"41001460 ";"75012529 ";"5 ";"20.02.2014 ";"Põdra sovhoosi vara riigivara katteks munitsipaalomandusse üleandmise akt. ";"Pajusi Vallavolikogu määrus \"Pajusi valla koolide põhimääruste muutmine\" ";"Kool on üldhariduskool, mis loob võimalused alushariduse ning esimesel ja teise kooliastme neljandas klassis põhihariduse omandamiseks ja koolikohustuse täitmiseks"
"75012564";"Aidu Raamatukogu";"Aidu k�la, Pajusi vald, J�geva maakond";"Kooli tee 4-16";"";"";"";"00000000";"";"";"AIDURAAMAT@HOT.EE";"
Valla ametiasutuse hallatav asutus";"49 ";"48222 ";"774 4432 ";" ";"91011 ";"Raamatukogude tegevus ";"04/-105-06 ";"01.09.1992 ";"01.09.1992 ";"17 ";"27.04.2000 ";"11.10.2000 ";"41005328 ";"75012529 ";"14 ";"29.06.2000 ";"Riigivara munitsipaalomandusse üleandmise akt ";"Pajusi Vallavolikogu määrus \"Pajusi valla raamatukogude põhimääruste kinnitamine\" ";"Raamatute arvestuse pidamine, kogude täiendamine ja nende kättesaadavaks tegemine lugejatele."
"75004820";"Ala P�hikool";"Ala k�la, Helme vald, Valga maakond";"";"";"";"";"00000000";"";"";"";"
Valla ametiasutuse hallatav asutus";"82 ";"68501 ";"076 79 257 ";"076 79 259 ";"85312 ";"Põhikoolide tegevus ";"1 ";"11.01.1990 ";"11.01.1990 ";"17 ";"27.04.2000 ";"07.07.2000 ";"33003574 ";"75004777 ";"4 ";"31.05.1999 ";"Helme Küla Rahvasaadikute Nõukogu täitevkomitee otsus \"Helme Valla munitsipaalomandisse taotlemisest\" ";"Helme Vallavolikogu määrus  \"Helme Raamatukogu, Taagepera Raamatukogu, Ala Põhikooli, Ritsu lasteaed-algkooli ja Helme lasteaia põhimääruste kinnitamine\" ";"Põhihariduse andmine"
"75008321";"Alaj�e Vallavalitsus";"Alaj�e k�la, Alaj�e vald, Ida-Viru maakond";"Valla 8";"";"";"";"00000000";"";"";"ALAJOEVV@ALAJOEVV.EE";"
Valla ametiasutus";"44 ";"41001 ";"033 93182 / 033 ";"033 93182 ";"84114 ";"Valla- ja linnavalitsuste tegevus ";"256 ";"10.12.1990 ";"01.01.1991 ";"17 ";"27.04.2000 ";"03.11.2000 ";"48002439 ";" ";"11 ";"18.10.2000 ";"Ida-Viru Maakonnavalitsuse määrus \"Alajõe külanõukogu omavalitsusliku haldussüsteemi loomine\" ";"Alajõe Vallavolikogu määrus \"Alajõe valla põhimääruse uue redaktsiooni ja sellega seonduvate õigusaktide kehtestamine\" ";"Korraldab ja juhib iseseisvalt kohalikku elu"
"75037038";"Alasniidu Lasteaed";"Tiskre k�la, Harku vald, Harju maakond";"Puisniidu tee 7";"00000000";"";"";"00000000";"00000000";"";"";"
Valla ametiasutuse hallatav asutus";"37 ";"76916 ";" ";" ";"85102 ";"Lasteaedade tegevus ";"102 ";"25.11.2010 ";"01.01.2011 ";"17 ";"27.04.2000 ";"20.01.2011 ";" ";"75014132 ";"38 ";"30.12.2010 ";"Harku Vallavolikogu otsus \"Harku Vallavalitsuse hallatava asutuse Alasniidu Lasteaed asutamine\" ";"Harku Vallavolikogu määrus \"Alasniidu Lasteaia põhimäärus\" ";"Eelkooliealisele lapsele alushariduse omandamise ja päevahoiu võimaldamine."
"75014936";"Alatskivi Kunstide Kool";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"";"";"";"";"00000000";"";"";"ALATSKIVI.KUNSTIDEKOOL@MAIL.EE";"
Valla ametiasutuse hallatav asutus";"78 ";"60201 ";"730 2377 ";" ";"85521 ";"Muusika- ja kunstikoolitus ";"12/1/515 ";"11.12.1992 ";"11.12.1992 ";"17 ";"27.04.2000 ";"27.10.2000 ";"64043484 ";"75006233 ";"11 ";"27.06.2007 ";"Riigi vara munitsipaalomandusse üleandmise akt ";"Alatskivi Vallavolikogu määrus \"Alatskivi Kunstide Kooli põhimäärus\" ";"Muusika-, kunsti- ja tantsuhariduse andmine õpilaskonnale."
"75006256";"Alatskivi Lasteaed";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"Kooli 2";"";"";"";"00000000";"";"";"ALATSKIVILASTEAED@HOT.EE";"
Valla ametiasutuse hallatav asutus";"78 ";"60201 ";"745 3746 ";" ";"85102 ";"Lasteaedade tegevus ";"12/01/01 ";"01.04.1992 ";"01.04.1992 ";"17 ";"27.04.2000 ";"26.07.2000 ";"64001391 ";"75006233 ";"13 ";"27.04.2000 ";"Riigivara munitsipaalomandusse üleandmise akt ";"Alatskivi Vallavolikogu määrus \"Alatskivi Lasteaia põhimääruse kinnitamine\" ";"Võimaldab lastele hoidu ja alushariduse omandamist."
"75024691";"Alatskivi Valla Keskraamatukogu";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"Kooli 1";"";"";"";"00000000";"";"";"ALATSKIVIRMTK@HOT.EE";"
Valla ametiasutuse hallatav asutus";"78 ";"60201 ";"7310127 ";" ";"91011 ";"Raamatukogude tegevus ";"369 ";"30.11.1990 ";"01.01.1991 ";"17 ";"27.04.2000 ";"23.01.2001 ";"64006916 ";"75006233 ";"28 ";"30.11.2000 ";"Tartu Maakonnavalitsuse määrus \"Haldusreformi läbiviimine Tartu maakonnas\" ";"Alatskivi Vallavolikogu määrus \"Alatskivi Valla Keskraamatukogu põhimääruse kinnitamine\" ";"Kogub, komplekteerib, säilitab ja teeb lugejatele kättesaadavals temale vajalikud trükised ning avalikud andmebaasid"
